Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
,49.81076941,8.646073089,166.0049722,4077205.524,619973.3503,4849360.117,60,FALSE,FALSE,FALSE,TRUE
,49.8107683,8.646072885,166.0063043,4077205.621,619973.3503,4849360.038,60,FALSE,FALSE,FALSE,TRUE
,49.81076719,8.646072675,166.0068019,4077205.717,619973.3495,4849359.959,60,FALSE,FALSE,FALSE,TRUE
,49.81076606,8.646072482,166.0088615,4077205.815,619973.3503,4849359.88,60,FALSE,FALSE,FALSE,TRUE
,49.81076494,8.646072278,166.0100104,4077205.912,619973.3502,4849359.8,60,FALSE,FALSE,FALSE,TRUE
,49.81076382,8.646072075,166.0114096,4077206.009,619973.3503,4849359.721,60,FALSE,FALSE,FALSE,TRUE
,49.8107627,8.646071874,166.0128152,4077206.106,619973.3504,4849359.641,60,FALSE,FALSE,FALSE,TRUE
,49.81076159,8.646071659,166.0131463,4077206.202,619973.3493,4849359.562,60,FALSE,FALSE,FALSE,TRUE
,49.81076045,8.646071469,166.0150255,4077206.301,619973.3505,4849359.482,60,FALSE,FALSE,FALSE,TRUE
,49.81075933,8.646071268,166.0162019,4077206.398,619973.3506,4849359.402,60,FALSE,FALSE,FALSE,TRUE
,49.81075821,8.646071064,166.0172719,4077206.495,619973.3506,4849359.322,60,FALSE,FALSE,FALSE,TRUE
,49.81075708,8.646070863,166.0183942,4077206.593,619973.3507,4849359.242,60,FALSE,FALSE,FALSE,TRUE
,49.81075597,8.64607065,166.01902,4077206.689,619973.3499,4849359.163,60,FALSE,FALSE,FALSE,TRUE
,49.81075483,8.646070459,166.0203372,4077206.787,619973.351,4849359.082,60,FALSE,FALSE,FALSE,TRUE
,49.8107537,8.646070258,166.0216289,4077206.885,619973.3512,4849359.002,60,FALSE,FALSE,FALSE,TRUE
